Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-01-27,2146.659912109375,2146.659912109375,2088.010009765625,2108.699951171875,9878040000,0,0
2021-01-28,2111.2900390625,2138.199951171875,2094.780029296875,2106.610107421875,6937960000,0,0
2021-01-29,2106.780029296875,2124.6201171875,2066.590087890625,2073.639892578125,6612570000,0,0
2021-02-01,2075.010009765625,2130.68994140625,2075.010009765625,2126.159912109375,5392870000,0,0
2021-02-02,2127.31005859375,2154.5400390625,2126.449951171875,2151.43994140625,5495370000,0,0
2021-02-03,2151.4599609375,2163.360107421875,2135.780029296875,2159.699951171875,4846900000,0,0
2021-02-04,2160.77001953125,2202.419921875,2160.77001953125,2202.419921875,4856670000,0,0
2021-02-05,2202.93994140625,2233.330078125,2202.93994140625,2233.330078125,4838580000,0,0
2021-02-08,2234.35009765625,2289.760009765625,2234.35009765625,2289.760009765625,4635030000,0,0
2021-02-09,2289.639892578125,2309.429931640625,2281.929931640625,2299.0,4554610000,0,0
2021-02-10,2300.679931640625,2318.090087890625,2266.659912109375,2282.43994140625,4815380000,0,0
2021-02-11,2283.27001953125,2303.6298828125,2255.570068359375,2285.320068359375,4570080000,0,0
2021-02-12,2284.659912109375,2293.72998046875,2264.3798828125,2289.360107421875,4119260000,0,0
2021-02-16,2290.570068359375,2310.090087890625,2266.27001953125,2272.889892578125,5037360000,0,0
2021-02-17,2271.9599609375,2271.9599609375,2226.97998046875,2256.110107421875,4718280000,0,0
2021-02-18,2253.030029296875,2253.030029296875,2208.489990234375,2218.389892578125,4773430000,0,0
2021-02-19,2218.820068359375,2275.8701171875,2218.820068359375,2266.68994140625,4823940000,0,0
2021-02-22,2265.8701171875,2276.330078125,2247.699951171875,2251.070068359375,5870190000,0,0
2021-02-23,2248.419921875,2248.419921875,2169.080078125,2231.31005859375,6280650000,0,0
2021-02-24,2232.409912109375,2286.489990234375,2232.409912109375,2284.3798828125,5942350000,0,0
2021-02-25,2283.85009765625,2289.070068359375,2196.52001953125,2200.169921875,6513060000,0,0
2021-02-26,2201.300048828125,2232.2900390625,2165.860107421875,2201.050048828125,6512950000,0,0
2021-03-01,2203.030029296875,2279.5400390625,2203.030029296875,2275.320068359375,5071540000,0,0
2021-03-02,2275.1201171875,2275.1201171875,2231.110107421875,2231.510009765625,5493690000,0,0
2021-03-03,2232.5,2252.56005859375,2207.6201171875,2207.7900390625,6150790000,0,0
2021-03-04,2207.739990234375,2217.050048828125,2110.139892578125,2146.919921875,7142240000,0,0
2021-03-05,2149.429931640625,2193.27001953125,2085.1201171875,2192.2099609375,6842570000,0,0
2021-03-08,2192.64990234375,2233.340087890625,2192.47998046875,2202.97998046875,5852240000,0,0
2021-03-09,2204.800048828125,2261.639892578125,2204.800048828125,2245.06005859375,5496340000,0,0
2021-03-10,2246.9599609375,2299.4599609375,2246.9599609375,2285.679931640625,5827250000,0,0
2021-03-11,2287.93994140625,2338.550048828125,2287.93994140625,2338.5400390625,5300010000,0,0
2021-03-12,2337.22998046875,2354.199951171875,2325.64990234375,2352.7900390625,4469240000,0,0
2021-03-15,2352.7900390625,2360.169921875,2337.1298828125,2360.169921875,4882190000,0,0
2021-03-16,2360.1298828125,2360.1298828125,2304.969970703125,2319.52001953125,4604870000,0,0
2021-03-17,2315.139892578125,2339.280029296875,2289.840087890625,2336.389892578125,4541620000,0,0
2021-03-18,2335.830078125,2340.550048828125,2262.070068359375,2267.590087890625,4043170000,0,0
2021-03-19,2267.64990234375,2298.0400390625,2247.570068359375,2287.550048828125,7725050000,0,0
2021-03-22,2287.929931640625,2294.0400390625,2258.699951171875,2266.840087890625,0,0,0
2021-03-23,2264.139892578125,2264.139892578125,2175.780029296875,2185.68994140625,4645340000,0,0
2021-03-24,2192.949951171875,2221.97998046875,2134.1201171875,2134.27001953125,4766990000,0,0
2021-03-25,2133.14990234375,2190.889892578125,2100.27001953125,2183.1201171875,4940800000,0,0
2021-03-26,2190.8798828125,2222.18994140625,2177.89990234375,2221.47998046875,5467850000,0,0
2021-03-29,2219.31005859375,2223.18994140625,2158.43994140625,2158.679931640625,4619840000,0,0
2021-03-30,2158.590087890625,2202.6201171875,2151.550048828125,2195.800048828125,4103570000,0,0
2021-03-31,2200.030029296875,2237.679931640625,2200.030029296875,2220.52001953125,4564980000,0,0
2021-04-01,2225.2900390625,2253.89990234375,2225.2900390625,2253.89990234375,4151240000,0,0
2021-04-05,2280.800048828125,2280.830078125,2253.93994140625,2264.889892578125,3999760000,0,0
2021-04-06,2264.739990234375,2280.3701171875,2257.550048828125,2259.14990234375,4027880000,0,0
2021-04-07,2259.14990234375,2259.14990234375,2217.780029296875,2223.050048828125,4112640000,0,0
2021-04-08,2225.18994140625,2243.0,2213.840087890625,2242.60009765625,3901910000,0,0
2021-04-09,2241.969970703125,2245.989990234375,2231.030029296875,2243.469970703125,3634910000,0,0
2021-04-12,2244.330078125,2244.330078125,2222.2099609375,2233.780029296875,3578500000,0,0
